分类,文件/实体,key,差异类型,0.2 (F008-0.2.zip),0.4 (F008-0.4.zip),0.6 (F008-0.6.zip),0.8 (F008-0.8.zip)
机型参数,Machine/printer,adaptive_bed_mesh_margin,key缺失,0,【key不存在】,【key不存在】,【key不存在】
机型参数,Machine/printer,bbl_use_printhost,key缺失,0,0,【key不存在】,【key不存在】
机型参数,Machine/printer,bed_mesh_max,key缺失,"99999,99999","99999,99999",【key不存在】,【key不存在】
机型参数,Machine/printer,bed_mesh_min,key缺失,"-99999,-99999","-99999,-99999",【key不存在】,【key不存在】
机型参数,Machine/printer,bed_mesh_probe_distance,key缺失,"50,50","50,50",【key不存在】,【key不存在】
机型参数,Machine/printer,color_bed_exclude_area,key缺失,,【key不存在】,【key不存在】,【key不存在】
机型参数,Machine/printer,default_print_profile,值不一致,0.10mm Standard @K2 Plus,0.20mm Standard@K2 Plus,0.30mm Standard @K2 Plus,0.40mm Standard@K2 Plus
机型参数,Machine/printer,enable_long_retraction_when_cut,值不一致,0,2,0,0
机型参数,Machine/printer,inherits,值不一致,fdm_creality_common,fdm_process_common_klipper,fdm_creality_common,fdm_creality_common
机型参数,Machine/printer,machine_tool_change_time,key缺失,0,【key不存在】,【key不存在】,【key不存在】
机型参数,Machine/printer,material_flow_temp_graph,key缺失,"[[3.0,210],[10.0,220],[12.0,230]]","[[3.0,210],[10.0,220],[12.0,230]]",【key不存在】,【key不存在】
机型参数,Machine/printer,nozzle_height,key缺失,4,【key不存在】,【key不存在】,【key不存在】
机型参数,Machine/printer,nozzle_volume,值不一致,183,268,183,183
机型参数,Machine/printer,pellet_modded_printer,key缺失,0,【key不存在】,【key不存在】,【key不存在】
机型参数,Machine/printer,prime_tower_position_type,key缺失,Middle Upper,【key不存在】,【key不存在】,【key不存在】
机型参数,Machine/printer,printer_structure,值不一致,i3,undefine,undefine,i3
喷头参数,Extruder/0,long_retractions_when_cut,值不一致；key缺失,0,1,【key不存在】,【key不存在】
喷头参数,Extruder/0,max_layer_height,值不一致,0.14,0.32,0.42,0.56
喷头参数,Extruder/0,min_layer_height,值不一致,0.04,0.08,0.12,0.16
喷头参数,Extruder/0,nozzle_diameter,值不一致,0.2,0.4,0.6,0.8
喷头参数,Extruder/0,retract_before_wipe,值不一致,70%,70,70%,70%
喷头参数,Extruder/0,retract_length_toolchange,值不一致,0,2,0,0
喷头参数,Extruder/0,retraction_distances_when_cut,值不一致；key缺失,18,30,【key不存在】,【key不存在】
喷头参数,Extruder/0,retraction_length,值不一致,0.5,0.8,1.5,3
喷头参数,Extruder/0,travel_slope,key缺失,3,【key不存在】,【key不存在】,【key不存在】
耗材参数,Materials/CR-ABS-1.75.json,activate_chamber_layer,key缺失,【key不存在】,2,【key不存在】,【key不存在】
耗材参数,Materials/CR-ABS-1.75.json,enable_pressure_advance,值不一致,1,0,1,1
耗材参数,Materials/CR-ABS-1.75.json,filament_end_gcode,值不一致,"; filament end gcode 
",";filament end gcode 
","; filament end gcode 
","; filament end gcode 
"
耗材参数,Materials/CR-ABS-1.75.json,filament_max_volumetric_speed,值不一致,1,18,18,18
耗材参数,Materials/CR-PETG-1.75.json,cool_plate_temp_initial_layer,值不一致,60,70,70,70
耗材参数,Materials/CR-PETG-1.75.json,enable_pressure_advance,值不一致,1,0,1,1
耗材参数,Materials/CR-PETG-1.75.json,eng_plate_temp,值不一致,0,50,0,0
耗材参数,Materials/CR-PETG-1.75.json,eng_plate_temp_initial_layer,值不一致,0,55,0,0
耗材参数,Materials/CR-PETG-1.75.json,filament_cost,值不一致,14,20,14,14
耗材参数,Materials/CR-PETG-1.75.json,filament_density,值不一致,1.23,1.24,1.23,1.23
耗材参数,Materials/CR-PETG-1.75.json,filament_end_gcode,值不一致,"; filament end gcode 
",";filament end gcode 
","; filament end gcode 
","; filament end gcode 
"
耗材参数,Materials/CR-PETG-1.75.json,filament_max_volumetric_speed,值不一致,1,18,18,18
