Profile,,,wipe_tower_extruder,Wipe tower extruder,coInt,The extruder to use when printing perimeter of the wipe tower. Set to 0 to use the one that is available (non-soluble would be preferred).,Deleted
Build Time : 2024-11-21 at 09:25:32 UTC,Commit :7d94698f40f53400c7a7b4b22e638e3a09ee0660,,,,,,,
Field,Main Group,Sub Group,Key,Name,Type,Description,Change Info,
,,,arc_tolerance,Arc tolerance,coInt,Arc tolerance,Unchanged,
,,,bbl_calib_mark_logo,Show auto-calibration marks,coBool,,Added,
,,,bed_custom_model,Bed custom model,coString,,Unchanged,
,,,bed_custom_texture,Bed custom texture,coString,,Unchanged,
,,,brim_ears,Brim ears,coBool,Only draw brim over the sharp edges of the model.,Added,
,,,compatible_machine_expression_group,,coStrings,,Added,
,,,compatible_printers,Compatible machine,coStrings,,Unchanged,
,,,compatible_printers_condition,Compatible machine condition,coString,,Unchanged,
,,,compatible_prints,Compatible process profiles,coStrings,,Unchanged,
,,,compatible_prints_condition,Compatible process profiles condition,coString,,Unchanged,
,,,compatible_process_expression_group,,coStrings,,Added,
,,,creality_flush_time,Time per flushing,coFloat,Time per flushing,Added,
,,,curr_bed_type,Bed type,coEnum,Bed types supported by the printer,Added,
,,,default_filament_profile,Default filament profile,coStrings,Default filament profile when switch to this machine profile,Unchanged,
,,,default_filament_type,Default type,coStrings,Default filament type,Unchanged,
,,,default_print_profile,Default process profile,coString,Default process profile when switch to this machine profile,Unchanged,
,,,different_settings_to_system,,coStrings,,Added,
,,,enable_long_retraction_when_cut,,coInt,,Added,
,,,enforce_support_layers,,coInt,,Unchanged,
,,,extruder,Extruder,coInt,,Added,
,,,extruder_colour,Extruder Color,coStrings,Only used as a visual help on UI,Unchanged,
,,,filament_colour,Color,coStrings,Only used as a visual help on UI,Added,
,,,filament_ids,,coStrings,,Added,
,,,filament_load_time,Filament load time,coFloats,Time for the printer firmware (or the Multi Material Unit 2.0) to load a new filament during a tool change (when executing the T code). This time is added to the total print time by the G-code time estimator.,Unchanged,
,,,filament_settings_id,,coStrings,,Added,
,,,filament_unload_time,Filament unload time,coFloats,Time for the printer firmware (or the Multi Material Unit 2.0) to unload a filament during a tool change (when executing the T code). This time is added to the total print time by the G-code time estimator.,Unchanged,
,,,first_layer_print_sequence,First layer print sequence,coInts,,Added,
,,,first_layer_sequence_choice,First layer filament sequence,coEnum,,Added,
,,,flush_multiplier,Flush multiplier,coFloat,The actual flushing volumes is equal to the flush multiplier multiplied by the flushing volumes in the table.,Added,
,,,flush_volumes_matrix,Purging volumes,coFloats,,Added,
,,,flush_volumes_vector,Purging volumes - load/unload volumes,coFloats,,Added,
,,,has_scarf_joint_seam,,coBool,,Added,
,,,head_wrap_detect_zone,Head wrap detect zone,coPoints,,Unchanged,
,,,host_type,Host Type,coEnum,Creality Print can upload G-code files to a printer host. This field must contain the kind of the host.,Unchanged,
,,,inherits,Inherits profile,coString,Name of parent profile,Unchanged,
,,,inherits_group,,coStrings,,Added,
,,,interface_shells,Interface shells,coBool,Force the generation of solid shells between adjacent materials/volumes. Useful for multi-extruder prints with translucent materials or manual soluble support material,Unchanged,
,,,machine_min_extruding_rate,,coFloats,Minimum speed for extruding (M205 S),Unchanged,
,,,machine_min_travel_rate,,coFloats,Minimum travel speed (M205 T),Unchanged,
,,,machine_tool_change_time,Tool change time,coFloat,Time taken to switch tools. It's usually applicable for tool changers or multi-tool machines. For single-extruder multi-material machines; it's typically 0. For statistics only,Added,
,,,nozzle_height,Nozzle height,coFloat,The height of nozzle tip.,Added,
,,,other_layers_print_sequence,Other layers print sequence,coInts,,Added,
,,,other_layers_print_sequence_nums,The number of other layers print sequence,coInt,,Added,
,,,other_layers_sequence_choice,Other layers filament sequence,coEnum,,Added,
,,,pellet_flow_coefficient,Pellet flow coefficient,coFloats,Pellet flow coefficient is empirically derived and allows for volume calculation for pellet printers.;;Internally it is converted to filament_diameter. All other volume calculations remain the same.;;filament_diameter = sqrt( (4 * pellet_flow_coefficient) / PI ),Added,
,,,preset_name,,coString,,Added,
,,,preset_names,Printer preset names,coStrings,Names of presets related to the physical printer,Added,
,,,prime_tower_enhance_type,Prime tower enhance type,coEnum,Prime tower enhance type,Added,
,,,print_compatible_printers,,coStrings,,Added,
,,,print_host,Hostname; IP or URL,coString,Creality Print can upload G-code files to a printer host. This field should contain the hostname; IP address or URL of the printer host instance. Print host behind HAProxy with basic auth enabled can be accessed by putting the user name and password into the URL in the following format: https://username:password@your-octopi-address/,Unchanged,
,,,print_host_webui,Device UI,coString,Specify the URL of your device user interface if it's not same as print_host,Unchanged,
,,,print_settings_id,,coString,,Added,
,,,printer_model,Printer type,coString,Type of the printer,Unchanged,
,,,printer_settings_id,,coString,,Added,
,,,printer_technology,Printer technology,coEnum,,Unchanged,
,,,printer_variant,Printer variant,coString,,Unchanged,
,,,printhost_apikey,API Key / Password,coString,Creality Print can upload G-code files to a printer host. This field should contain the API Key or the password required for authentication.,Unchanged,
,,,printhost_authorization_type,Authorization Type,coEnum,,Unchanged,
,,,printhost_cafile,HTTPS CA File,coString,Custom CA certificate file can be specified for HTTPS OctoPrint connections; in crt/pem format. If left blank; the default OS CA certificate repository is used.,Unchanged,
,,,printhost_password,Password,coString,,Unchanged,
,,,printhost_port,Printer,coString,Name of the printer,Unchanged,
,,,printhost_ssl_ignore_revoke,Ignore HTTPS certificate revocation checks,coBool,Ignore HTTPS certificate revocation checks in case of missing or offline distribution points. One may want to enable this option for self signed certificates if connection fails.,Unchanged,
,,,printhost_user,User,coString,,Unchanged,
,,,raft_expansion,Raft expansion,coFloat,Expand all raft layers in XY plane,Unchanged,
,,,scan_first_layer,Scan first layer,coBool,Enable this to enable the camera on printer to check the quality of first layer,Unchanged,
,,,silent_mode,Supports silent mode,coBool,Whether the machine supports silent mode in which machine use lower acceleration to print,Unchanged,
,,,start_end_points,Start end points,coPoints,The start and end points which is from cutter area to garbage can.,Added,
,,,support_interface_loop_pattern,Interface use loop pattern,coBool,Cover the top contact layer of the supports with loops. Disabled by default.,Unchanged,
,,,thumbnails_format,Format of G-code thumbnails,coEnum,Format of G-code thumbnails: PNG for best quality; JPG for smallest size; QOI for low memory firmware,Unchanged,
,,,travel_speed_z,,coFloat,,Unchanged,
,,,tree_support_with_infill,Tree support with infill,coBool,This setting specifies whether to add infill inside large hollows of tree support,Added,
,,,upward_compatible_machine,upward compatible machine,coStrings,,Unchanged,
,,,wipe_tower_x,,coFloats,,Added,
,,,wipe_tower_y,,coFloats,,Added,
,,,wiping_volumes_extruders,Purging volumes - load/unload volumes,coFloats,This vector saves required volumes to change from/to each tool used on the wipe tower. These values are used to simplify creation of the full purging volumes below.,Unchanged,
Filament,Advanced,Filament end G-code,filament_end_gcode,End G-code,coStrings,End G-code when finish the printing of this filament,Unchanged,
Filament,Advanced,Filament start G-code,filament_start_gcode,Start G-code,coStrings,Start G-code when start the printing of this filament,Unchanged,
Filament,Cooling,Auxiliary part cooling fan,additional_cooling_fan_speed,Fan speed,coInts,Speed of auxiliary part cooling fan. Auxiliary fan will run at this speed during printing except the first several layers which is defined by no cooling layers.;Please enable auxiliary_fan in printer settings to use this feature. G-code command: M106 P2 S(0-255),Unchanged,
Filament,Cooling,Auxiliary part cooling fan,cool_cds_fan_start_at_height,Auxiliary fan opening height,coFloats,Auxiliary fan opening height,Unchanged,
Filament,Cooling,Auxiliary part cooling fan,cool_special_cds_fan_speed,Special area additional cooling fan speed,coInts,Special area additional cooling fan speed,Unchanged,
Filament,Cooling,Auxiliary part cooling fan,enable_special_area_additional_cooling_fan,Enable special area additional cooling fan,coBools,Enable special area additional cooling fan,Added,
Filament,Cooling,Cooling for specific layer,close_fan_the_first_x_layers,No cooling for the first,coInts,Close all cooling fan for the first certain layers. Cooling fan of the first layer used to be closed to get better build plate adhesion,Unchanged,
Filament,Cooling,Cooling for specific layer,full_fan_speed_layer,Full fan speed at layer,coInts,"Fan speed will be ramped up linearly from zero at layer ""close_fan_the_first_x_layers"" to maximum at layer ""full_fan_speed_layer"". ""full_fan_speed_layer"" will be ignored if lower than ""close_fan_the_first_x_layers""; in which case the fan will be running at maximum allowed speed at layer ""close_fan_the_first_x_layers"" + 1.",Unchanged,
Filament,Cooling,Exhaust fan,activate_air_filtration,Activate air filtration,coBools,Activate for better air filtration. G-code command: M106 P3 S(0-255),Unchanged,
Filament,Cooling,Exhaust fan,complete_print_exhaust_fan_speed,Fan speed,coInts,Speed of exhaust fan after printing completes,Unchanged,
Filament,Cooling,Exhaust fan,during_print_exhaust_fan_speed,Fan speed,coInts,Speed of exhaust fan during printing.This speed will overwrite the speed in filament custom gcode,Unchanged,
Filament,Cooling,Part cooling fan,dont_slow_down_outer_wall,Don't slow down outer walls,coBools,If enabled; this setting will ensure external perimeters are not slowed down to meet the minimum layer time. This is particularly helpful in the below scenarios:;; 1. To avoid changes in shine when printing glossy filaments ;2. To avoid changes in external wall speed which may create slight wall artefacts that appear like z banding ;3. To avoid printing at speeds which cause VFAs (fine artefacts) on the external walls;;,Added,
Filament,Cooling,Part cooling fan,enable_overhang_bridge_fan,Force cooling for overhang and bridge,coBools,Enable this option to optimize part cooling fan speed for overhang and bridge to get better cooling,Unchanged,
Filament,Cooling,Part cooling fan,fan_cooling_layer_time,Layer time,coFloats,Part cooling fan will be enabled for layers of which estimated time is shorter than this value. Fan speed is interpolated between the minimum and maximum fan speeds according to layer printing time,Unchanged,
Filament,Cooling,Part cooling fan,fan_max_speed,Fan speed,coFloats,Part cooling fan speed may be increased when auto cooling is enabled. This is the maximum speed limitation of part cooling fan,Unchanged,
Filament,Cooling,Part cooling fan,fan_min_speed,Fan speed,coFloats,Minimum speed for part cooling fan,Unchanged,
Filament,Cooling,Part cooling fan,overhang_fan_speed,Fan speed for overhang,coInts,Force part cooling fan to be this speed when printing bridge or overhang wall which has large overhang degree. Forcing cooling for overhang and bridge can get better quality for these part,Unchanged,
Filament,Cooling,Part cooling fan,overhang_fan_threshold,Cooling overhang threshold,coEnums,Force cooling fan to be specific speed when overhang degree of printed part exceeds this value. Expressed as percentage which indicides how much width of the line without support from lower layer. 0% means forcing cooling for all outer wall no matter how much overhang degree,Unchanged,
Filament,Cooling,Part cooling fan,reduce_fan_stop_start_freq,Keep fan always on,coBools,If enable this setting; part cooling fan will never be stoped and will run at least at minimum speed to reduce the frequency of starting and stoping,Unchanged,
Filament,Cooling,Part cooling fan,slow_down_for_layer_cooling,Slow printing down for better layer cooling,coBools,"Enable this option to slow printing speed down to make the final layer time not shorter than the layer time threshold in ""Max fan speed threshold""; so that layer can be cooled for longer time. This can improve the cooling quality for needle and small details",Unchanged,
Filament,Cooling,Part cooling fan,slow_down_layer_time,Layer time,coFloats,The printing speed in exported gcode will be slowed down; when the estimated layer time is shorter than this value; to get better cooling for these layers,Unchanged,
Filament,Cooling,Part cooling fan,slow_down_min_speed,Min print speed,coFloats,The minimum printing speed that the printer will slow down to to attempt to maintain the minimum layer time above; when slow down for better layer cooling is enabled.,Unchanged,
Filament,Cooling,Part cooling fan,support_material_interface_fan_speed,Support interface fan speed,coInts,This fan speed is enforced during all support interfaces; to be able to weaken their bonding with a high fan speed.;Set to -1 to disable this override.;Can only be overriden by disable_fan_first_layers.,Unchanged,
Filament,Filament,Basic information,default_filament_colour,Default color,coStrings,Default filament color,Unchanged,
Filament,Filament,Basic information,enable_pressure_advance,Enable pressure advance,coBools,Enable pressure advance; auto calibration result will be overwriten once enabled.,Unchanged,
Filament,Filament,Basic information,filament_cost,Price,coFloats,Filament price. For statistics only,Unchanged,
Filament,Filament,Basic information,filament_density,Density,coFloats,Filament density. For statistics only,Unchanged,
Filament,Filament,Basic information,filament_diameter,Diameter,coFloats,Filament diameter is used to calculate extrusion in gcode; so it's important and should be accurate,Unchanged,
Filament,Filament,Basic information,filament_flow_ratio,Flow ratio,coFloats,The material may have volumetric change after switching between molten state and crystalline state. This setting changes all extrusion flow of this filament in gcode proportionally. Recommended value range is between 0.95 and 1.05. Maybe you can tune this value to get nice flat surface when there has slight overflow or underflow,Unchanged,
Filament,Filament,Basic information,filament_is_support,Support material,coBools,Support material is commonly used to print support and support interface,Unchanged,
Filament,Filament,Basic information,filament_shrink,Shrinkage (XY),coPercents,Enter the shrinkage percentage that the filament will get after cooling (94% if you measure 94mm instead of 100mm). The part will be scaled in xy to compensate. Only the filament used for the perimeter is taken into account.;Be sure to allow enough space between objects; as this compensation is done after the checks.,Unchanged,
Filament,Filament,Basic information,filament_shrinkage_compensation_z,Shrinkage (Z),coPercents,Enter the shrinkage percentage that the filament will get after cooling (94% if you measure 94mm instead of 100mm). The part will be scaled in Z to compensate.,Unchanged,
Filament,Filament,Basic information,filament_soluble,Soluble material,coBools,Soluble material is commonly used to print support and support interface,Unchanged,
Filament,Filament,Basic information,filament_type,Type,coStrings,The material type of filament,Unchanged,
Filament,Filament,Basic information,filament_vendor,Vendor,coStrings,Vendor of filament. For show only,Unchanged,
Filament,Filament,Basic information,idle_temperature,Idle temperature,coInts,Nozzle temperature when the tool is currently not used in multi-tool setups.This is only used when 'Ooze prevention' is active in Print Settings. Set to 0 to disable.,Added,
Filament,Filament,Basic information,nozzle_temperature_range_high,Max,coInts,,Unchanged,
Filament,Filament,Basic information,nozzle_temperature_range_low,Min,coInts,,Unchanged,
Filament,Filament,Basic information,pressure_advance,Pressure advance,coFloats,Pressure advance(Klipper) AKA Linear advance factor(Marlin),Unchanged,
